loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,peak_vram_mb,total_train_time_s,avg_epoch_time_s
0.9805,6.573777675628662,6.348600508905854e-06,0.95,500,,,,,,,,,,,,2523.22,426.13,60.88
,,,1.0,524,0.7101703882217407,0.7452290076335878,0.7444157280792334,1.4935,701.685,44.19,,,,,,2523.22,426.13,60.88
0.6587,9.032955169677734,9.698897370653096e-06,1.91,1000,,,,,,,,,,,,2523.22,426.13,60.88
,,,2.0,1048,0.6391980051994324,0.7929389312977099,0.795156509071949,1.4227,736.652,46.392,,,,,,2523.22,426.13,60.88
0.5847,8.203390121459961,8.992083686740177e-06,2.86,1500,,,,,,,,,,,,2523.22,426.13,60.88
,,,3.0,1572,0.6411803364753723,0.799618320610687,0.8031121063115206,1.2688,825.957,52.016,,,,,,2523.22,426.13,60.88
0.5256,14.254663467407227,8.285270002827255e-06,3.82,2000,,,,,,,,,,,,2523.22,426.13,60.88
,,,4.0,2096,0.6369662284851074,0.8101145038167938,0.8122670791927175,1.5846,661.348,41.65,,,,,,2523.22,426.13,60.88
0.4819,15.687874794006348,7.5784563189143345e-06,4.77,2500,,,,,,,,,,,,2523.22,426.13,60.88
,,,5.0,2620,0.6494924426078796,0.8196564885496184,0.8221666531363647,1.5424,679.464,42.791,,,,,,2523.22,426.13,60.88
0.4457,9.541546821594238,6.87305626236924e-06,5.73,3000,,,,,,,,,,,,2523.22,426.13,60.88
,,,6.0,3144,0.6654477715492249,0.8187022900763359,0.8204379124160702,1.5159,691.319,43.537,,,,,,2523.22,426.13,60.88
0.4151,9.391352653503418,6.167656205824145e-06,6.68,3500,,,,,,,,,,,,2523.22,426.13,60.88
,,,7.0,3668,0.6966786980628967,0.8148854961832062,0.8174022109915007,1.5329,683.676,43.056,,,,,,2523.22,426.13,60.88
,,,7.0,3668,,,,,,,426.1285,295.052,18.445,1943132689580544.0,0.5768807306154473,2523.22,426.13,60.88
,,,7.0,3668,0.6494924426078796,0.8196564885496184,0.8221666531363647,1.6015,654.383,41.211,,,,,,2523.22,426.13,60.88
